ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Graves Island,NS ,CANADA ,4,,4,Full,CampsitePermit,Single Tent,7/17/2016,7/20/2016,3,1
Mira River,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/22/2016,7/23/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/19/2016,8/21/2016,2,1
Mira River,NB ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/8/2016,8/10/2016,2,1
Cape Chignecto,NS ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,9/2/2016,9/4/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,9/2/2016,9/5/2016,3,1
Caribou Munroes,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/28/2016,8/29/2016,1,1
Rissers Beach,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,8/3/2016,8/5/2016,2,1
Five Islands,NB ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,7/14/2016,7/17/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,7/3/2016,7/4/2016,1,1
Caribou Munroes,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/26/2016,8/27/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,10/7/2016,10/10/2016,3,1
Mira River,QC ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,7/29/2016,7/31/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/16/2016,9/18/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,6/24/2016,6/26/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,7/28/2016,8/1/2016,4,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,9/16/2016,9/19/2016,3,1
Rissers Beach,PE ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/25/2016,7/26/2016,1,1
Blomidon,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/21/2016,8/22/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/17/2016,7/18/2016,1,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/5/2016,8/7/2016,2,1
Whycocomagh,NS ,CANADA ,4,1,5,Senior,CampsitePermit,Less than 30ft,7/26/2016,7/28/2016,2,1
Mira River,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,7/8/2016,7/10/2016,2,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/13/2016,7/14/2016,1,1
